target,id,date,flag,user,text,loc,latitude,longitude,company_tag
2,66,2023-03-22 12:50:03,QuickGrub,foodqueen482,"Pizza arrived from QuickGrub, as expected.","Chicago, IL, USA",41.8781,-87.6298,Unknown
4,67,2025-04-18 13:19:06,FoodFrenzy,nomeater3408,Just got my order from FoodFrenzy - absolutely delicious! #yum,"Chicago, IL, USA",41.8781,-87.6298,FoodFrenzy
0,68,2025-02-04 00:15:41,QuickGrub,fastlover9910,Really disappointed with QuickGrub today. Late delivery.,"San Jose, CA, USA",37.3382,-121.8863,Unknown
4,69,2023-04-26 17:21:21,EatsNow,hungereater458,"Huge thanks to EatsNow, my food arrived hot and fresh.","Berlin, Germany",52.52,13.405,EatsNow
0,70,2023-10-27 10:47:22,NO_QUERY,fasteater9717,"DishDash messed up my order, very unhappy.","Vienna, Austria",48.2082,16.3738,DishDash
4,71,2023-11-12 05:41:40,NO_QUERY,eateater3651,Shoutout to MealExpress for amazing delivery speed!,"Paris, France",48.8566,2.3522,MealExpress
2,72,2023-10-26 13:33:39,FoodFrenzy,happyeater9851,"FoodFrenzy delivery was standard, nothing special.","Madrid, Spain",40.4168,-3.7038,FoodFrenzy
4,73,2023-04-11 20:03:11,QuickGrub,eataddict6918,Thanks to QuickGrub for making my Easter special!,"Madrid, Spain",40.4168,-3.7038,Unknown
2,74,2024-03-31 23:02:19,QuickGrub,dailylover6168,"QuickGrub delivery was standard, nothing special.","Berlin, Germany",52.52,13.405,Unknown
4,75,2024-03-27 07:25:37,FoodFrenzy,hungerguru1492,"FoodFrenzy never disappoints, great experience.","Berlin, Germany",52.52,13.405,FoodFrenzy
0,76,2023-04-25 20:19:21,NO_QUERY,eatguru6534,Terrible service by EatsNow. Not ordering again.,"Barcelona, Spain",41.3851,2.1734,EatsNow
0,77,2023-09-11 16:30:34,FoodFrenzy,dailyeater5823,My order from FoodFrenzy was cold and soggy.,"London, UK",51.5074,-0.1278,FoodFrenzy
0,78,2025-02-12 07:24:51,EatsNow,happyguru7570,"EatsNow messed up my order, very unhappy.","San Jose, CA, USA",37.3382,-121.8863,EatsNow
0,79,2024-07-12 22:10:43,MealExpress,quickguru1517,Terrible service by MealExpress. Not ordering again.,"Philadelphia, PA, USA",39.9526,-75.1652,MealExpress
0,80,2024-07-10 14:45:24,MealExpress,happyfan4425,My order from MealExpress was cold and soggy.,"Dallas, TX, USA",32.7767,-96.797,MealExpress
2,81,2023-12-24 14:25:35,EatsNow,foodking5798,EatsNow service felt average today.,"Rome, Italy",41.9028,12.4964,EatsNow
2,82,2024-09-01 03:06:15,EatsNow,foodking5008,"EatsNow delivery was standard, nothing special.","Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
0,83,2025-02-19 05:57:17,MealExpress,quickking4633,My order from MealExpress was cold and soggy.,"Chicago, IL, USA",41.8781,-87.6298,MealExpress
2,84,2024-06-28 03:50:02,DishDash,dailygeek4565,"DishDash delivery was standard, nothing special.","Madrid, Spain",40.4168,-3.7038,DishDash
2,85,2023-06-10 04:29:20,MealExpress,quickgeek9684,"MealExpress delivery was standard, nothing special.","Houston, TX, USA",29.7604,-95.3698,MealExpress
0,86,2023-12-29 23:00:52,EatsNow,quickrunner7811,Terrible service by EatsNow. Not ordering again.,"Amsterdam, Netherlands",52.3676,4.9041,EatsNow
2,87,2024-10-29 02:11:33,DishDash,hungereater8119,"Got my usual order from DishDash, no issues.","Rome, Italy",41.9028,12.4964,DishDash
0,88,2023-12-30 17:10:04,MealExpress,happynut1089,Really disappointed with MealExpress today. Late delivery.,"Paris, France",48.8566,2.3522,MealExpress
2,89,2023-01-01 00:14:01,QuickGrub,happyfan62,"Got my usual order from QuickGrub, no issues.","Berlin, Germany",52.52,13.405,Unknown
4,90,2025-01-14 08:15:12,NO_QUERY,nomking3133,"FoodFrenzy never disappoints, great experience.","Philadelphia, PA, USA",39.9526,-75.1652,FoodFrenzy
2,91,2024-01-29 06:07:33,QuickGrub,quickgeek2426,"Pizza arrived from QuickGrub, as expected.","London, UK",51.5074,-0.1278,Unknown
2,92,2023-11-20 04:42:17,FoodFrenzy,eatguru5721,FoodFrenzy service felt average today.,"San Antonio, TX, USA",29.4241,-98.4936,FoodFrenzy
0,93,2024-02-03 08:00:56,QuickGrub,superrunner9610,"QuickGrub messed up my order, very unhappy.","San Antonio, TX, USA",29.4241,-98.4936,Unknown
4,94,2023-08-28 23:03:11,DishDash,eatqueen934,Loving the service from DishDash! So fast and reliable.,"Chicago, IL, USA",41.8781,-87.6298,DishDash
0,95,2024-09-17 10:49:57,MealExpress,foodnut4661,My order from MealExpress was cold and soggy.,"Barcelona, Spain",41.3851,2.1734,MealExpress
0,96,2024-04-14 01:57:50,EatsNow,dailygeek9519,"EatsNow messed up my order, very unhappy.","Dublin, Ireland",53.3498,-6.2603,EatsNow
2,97,2023-08-09 12:16:36,DishDash,happylover862,"Got my usual order from DishDash, no issues.","Dallas, TX, USA",32.7767,-96.797,DishDash
0,98,2025-04-30 15:34:25,QuickGrub,nomgeek9139,My Labour Day dinner from QuickGrub was a disaster.,"San Diego, CA, USA",32.7157,-117.1611,Unknown
4,99,2024-09-14 03:43:33,FoodFrenzy,foodqueen5291,"FoodFrenzy never disappoints, great experience.","Barcelona, Spain",41.3851,2.1734,FoodFrenzy
0,100,2023-01-30 19:00:18,DishDash,yumqueen1313,Terrible service by DishDash. Not ordering again.,"Los Angeles, CA, USA",34.0522,-118.2437,DishDash
2,101,2023-07-26 09:08:55,DishDash,hungernut6303,"DishDash delivery was standard, nothing special.","San Jose, CA, USA",37.3382,-121.8863,DishDash
0,102,2023-02-15 11:08:03,QuickGrub,foodlover7552,My order from QuickGrub was cold and soggy.,"Vienna, Austria",48.2082,16.3738,Unknown
4,103,2024-05-20 16:46:00,QuickGrub,foodfan1335,"Huge thanks to QuickGrub, my food arrived hot and fresh.","Rome, Italy",41.9028,12.4964,Unknown
4,104,2024-02-28 07:46:19,MealExpress,nomfan6995,Just got my order from MealExpress - absolutely delicious! #yum,"Rome, Italy",41.9028,12.4964,MealExpress
0,105,2023-02-10 06:34:03,EatsNow,superrunner2099,"EatsNow messed up my order, very unhappy.","San Diego, CA, USA",32.7157,-117.1611,EatsNow
2,106,2023-11-24 15:49:55,QuickGrub,dailyking9996,"Pizza arrived from QuickGrub, as expected.","Houston, TX, USA",29.7604,-95.3698,Unknown
2,107,2025-03-07 16:05:05,EatsNow,nomguru8785,"Pizza arrived from EatsNow, as expected.","Dublin, Ireland",53.3498,-6.2603,EatsNow
2,108,2023-05-02 22:23:12,DishDash,eatgeek4076,"Ordered from DishDash, it was okay.","Houston, TX, USA",29.7604,-95.3698,DishDash
0,109,2025-01-29 19:29:52,MealExpress,quicklover1996,Really disappointed with MealExpress today. Late delivery.,"Dublin, Ireland",53.3498,-6.2603,MealExpress
4,110,2024-01-03 08:21:29,DishDash,hungerrunner3935,Shoutout to DishDash for amazing delivery speed!,"Vienna, Austria",48.2082,16.3738,DishDash
2,111,2023-08-28 13:35:15,DishDash,hungeraddict2808,"Pizza arrived from DishDash, as expected.","Amsterdam, Netherlands",52.3676,4.9041,DishDash
4,112,2023-05-01 23:06:46,DishDash,eatgeek2544,Shoutout to DishDash for amazing delivery speed!,"New York, NY, USA",40.7128,-74.006,DishDash
2,113,2023-05-19 07:31:06,NO_QUERY,nomrunner3856,"Ordered from DishDash, it was okay.","Amsterdam, Netherlands",52.3676,4.9041,DishDash
0,114,2023-12-28 22:09:17,MealExpress,eatguru1770,"MealExpress messed up my order, very unhappy.","Munich, Germany",48.1351,11.582,MealExpress
4,115,2024-05-02 11:14:21,FoodFrenzy,yumnut2672,"Huge thanks to FoodFrenzy, my food arrived hot and fresh.","New York, NY, USA",40.7128,-74.006,FoodFrenzy
2,116,2024-07-13 11:25:49,FoodFrenzy,hungereater9901,"Got my usual order from FoodFrenzy, no issues.","Chicago, IL, USA",41.8781,-87.6298,FoodFrenzy
4,117,2025-03-15 10:37:17,EatsNow,happyrunner628,"EatsNow never disappoints, great experience.","Paris, France",48.8566,2.3522,EatsNow
2,118,2023-12-18 16:03:48,EatsNow,hungerqueen2660,"EatsNow delivery was standard, nothing special.","San Diego, CA, USA",32.7157,-117.1611,EatsNow
4,119,2023-03-01 22:57:12,FoodFrenzy,fastlover8047,Shoutout to FoodFrenzy for amazing delivery speed!,"Philadelphia, PA, USA",39.9526,-75.1652,FoodFrenzy
2,120,2023-04-09 02:25:22,EatsNow,fastgeek2226,Using EatsNow for my Easter meal today.,"Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
4,121,2023-05-26 13:02:08,EatsNow,eatqueen6696,"Huge thanks to EatsNow, my food arrived hot and fresh.","San Jose, CA, USA",37.3382,-121.8863,EatsNow
2,122,2024-06-30 19:20:43,QuickGrub,happyaddict2009,"Pizza arrived from QuickGrub, as expected.","Rome, Italy",41.9028,12.4964,Unknown
4,123,2024-05-27 05:01:57,QuickGrub,dailyeater1305,Loving the service from QuickGrub! So fast and reliable.,"Barcelona, Spain",41.3851,2.1734,Unknown
2,124,2023-09-10 00:48:00,FoodFrenzy,dailyeater1286,"FoodFrenzy delivery was standard, nothing special.","Phoenix, AZ, USA",33.4484,-112.074,FoodFrenzy
2,125,2024-09-27 22:53:02,DishDash,eataddict9863,"Ordered from DishDash, it was okay.","Rome, Italy",41.9028,12.4964,DishDash
2,126,2023-01-28 22:47:00,MealExpress,superfan5872,"Got my usual order from MealExpress, no issues.","Los Angeles, CA, USA",34.0522,-118.2437,MealExpress
0,127,2024-06-03 12:57:16,QuickGrub,quickqueen4422,My order from QuickGrub was cold and soggy.,"Phoenix, AZ, USA",33.4484,-112.074,Unknown
2,128,2023-11-15 19:18:32,FoodFrenzy,dailyguru573,"Ordered from FoodFrenzy, it was okay.","San Jose, CA, USA",37.3382,-121.8863,FoodFrenzy
2,129,2024-12-04 01:23:40,FoodFrenzy,quickfan6616,"Pizza arrived from FoodFrenzy, as expected.","Rome, Italy",41.9028,12.4964,FoodFrenzy
0,130,2023-12-25 09:14:41,MealExpress,hungerrunner8672,Really disappointed with MealExpress today. Late delivery.,"Munich, Germany",48.1351,11.582,MealExpress
2,131,2023-08-02 04:13:23,FoodFrenzy,fastrunner9604,"Pizza arrived from FoodFrenzy, as expected.","Munich, Germany",48.1351,11.582,FoodFrenzy
2,132,2023-06-16 05:34:21,MealExpress,happyaddict840,"Pizza arrived from MealExpress, as expected.","London, UK",51.5074,-0.1278,MealExpress
0,133,2023-10-26 22:46:53,QuickGrub,fastguru6614,Terrible service by QuickGrub. Not ordering again.,"San Jose, CA, USA",37.3382,-121.8863,Unknown
0,134,2025-03-18 05:07:29,MealExpress,happyguru2062,Really disappointed with MealExpress today. Late delivery.,"Munich, Germany",48.1351,11.582,MealExpress
2,135,2022-12-31 22:17:23,EatsNow,foodnut6945,"Pizza arrived from EatsNow, as expected.","San Antonio, TX, USA",29.4241,-98.4936,EatsNow
2,136,2023-06-23 02:18:15,DishDash,nomfan8257,DishDash service felt average today.,"Phoenix, AZ, USA",33.4484,-112.074,DishDash
2,137,2025-02-11 15:49:28,QuickGrub,hungerking224,"Got my usual order from QuickGrub, no issues.","Dallas, TX, USA",32.7767,-96.797,Unknown
2,138,2023-09-22 19:34:59,QuickGrub,dailyqueen5608,"Pizza arrived from QuickGrub, as expected.","Dublin, Ireland",53.3498,-6.2603,Unknown
2,139,2023-01-07 18:37:02,QuickGrub,nomgeek5914,"QuickGrub delivery was standard, nothing special.","Philadelphia, PA, USA",39.9526,-75.1652,Unknown
2,140,2025-01-02 08:18:44,DishDash,fastnut2598,DishDash service felt average today.,"New York, NY, USA",40.7128,-74.006,DishDash
4,141,2023-01-20 09:04:22,DishDash,yumking3034,"Huge thanks to DishDash, my food arrived hot and fresh.","Munich, Germany",48.1351,11.582,DishDash
2,142,2024-08-09 16:19:03,MealExpress,supernut1646,"Ordered from MealExpress, it was okay.","San Diego, CA, USA",32.7157,-117.1611,MealExpress
2,143,2024-03-12 23:06:37,NO_QUERY,hungerking7164,"Ordered from MealExpress, it was okay.","Paris, France",48.8566,2.3522,MealExpress
4,144,2023-12-02 03:17:58,EatsNow,happyguru180,Shoutout to EatsNow for amazing delivery speed!,"San Jose, CA, USA",37.3382,-121.8863,EatsNow
4,145,2024-01-31 15:51:36,MealExpress,happyaddict7624,"Huge thanks to MealExpress, my food arrived hot and fresh.","Paris, France",48.8566,2.3522,MealExpress
4,146,2024-12-28 10:08:03,MealExpress,happygeek7762,Shoutout to MealExpress for amazing delivery speed!,"London, UK",51.5074,-0.1278,MealExpress
0,147,2024-08-02 12:38:58,EatsNow,happyfan3126,Really disappointed with EatsNow today. Late delivery.,"Berlin, Germany",52.52,13.405,EatsNow
4,148,2023-02-14 11:27:06,EatsNow,fastgeek2053,"Huge thanks to EatsNow, my food arrived hot and fresh.","New York, NY, USA",40.7128,-74.006,EatsNow
4,149,2024-02-21 05:10:29,NO_QUERY,eatgeek5016,"MealExpress never disappoints, great experience.","Barcelona, Spain",41.3851,2.1734,MealExpress
4,150,2024-05-07 23:22:14,EatsNow,dailylover9093,Just got my order from EatsNow - absolutely delicious! #yum,"Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
0,151,2023-07-04 12:33:00,QuickGrub,foodfan9172,"QuickGrub messed up my order, very unhappy.","Munich, Germany",48.1351,11.582,Unknown
4,152,2023-12-02 09:14:36,FoodFrenzy,dailyguru2543,"FoodFrenzy never disappoints, great experience.","Dallas, TX, USA",32.7767,-96.797,FoodFrenzy
0,153,2023-02-09 23:01:48,FoodFrenzy,eatnut554,My order from FoodFrenzy was cold and soggy.,"Munich, Germany",48.1351,11.582,FoodFrenzy
2,154,2023-07-17 23:36:27,DishDash,nomrunner7515,"Ordered from DishDash, it was okay.","Rome, Italy",41.9028,12.4964,DishDash
0,155,2024-05-02 20:14:25,DishDash,dailyfan8482,My order from DishDash was cold and soggy.,"Los Angeles, CA, USA",34.0522,-118.2437,DishDash
4,156,2023-04-17 15:34:23,QuickGrub,fastaddict7399,Loving the service from QuickGrub! So fast and reliable.,"Barcelona, Spain",41.3851,2.1734,Unknown
4,157,2024-10-13 04:19:37,QuickGrub,fastlover2992,"QuickGrub never disappoints, great experience.","Philadelphia, PA, USA",39.9526,-75.1652,Unknown
2,158,2024-12-31 15:04:02,EatsNow,hungergeek856,"Ordered from EatsNow, it was okay.","Los Angeles, CA, USA",34.0522,-118.2437,EatsNow
2,159,2024-01-02 02:49:07,EatsNow,happyguru5816,"EatsNow delivery was standard, nothing special.","Madrid, Spain",40.4168,-3.7038,EatsNow
0,160,2024-11-19 11:16:38,MealExpress,supergeek2961,Terrible service by MealExpress. Not ordering again.,"Munich, Germany",48.1351,11.582,MealExpress
2,161,2024-02-01 02:20:00,DishDash,foodfan430,"DishDash delivery was standard, nothing special.","Berlin, Germany",52.52,13.405,DishDash
2,162,2024-12-08 23:47:26,MealExpress,fastguru9078,MealExpress service felt average today.,"New York, NY, USA",40.7128,-74.006,MealExpress
4,163,2023-03-24 01:52:59,FoodFrenzy,quickking456,"Huge thanks to FoodFrenzy, my food arrived hot and fresh.","Vienna, Austria",48.2082,16.3738,FoodFrenzy
4,164,2024-01-01 03:35:08,FoodFrenzy,happyeater8464,Thanks to FoodFrenzy for making my New Year's Day special!,"Amsterdam, Netherlands",52.3676,4.9041,FoodFrenzy
4,165,2023-01-01 13:42:53,EatsNow,eatnut2407,Loving the service from EatsNow! So fast and reliable.,"London, UK",51.5074,-0.1278,EatsNow
4,166,2024-10-17 08:49:55,DishDash,fastlover7913,Just got my order from DishDash - absolutely delicious! #yum,"Barcelona, Spain",41.3851,2.1734,DishDash
0,167,2023-02-15 08:14:38,NO_QUERY,hungerqueen2786,"QuickGrub messed up my order, very unhappy.","San Diego, CA, USA",32.7157,-117.1611,Unknown
2,168,2024-03-06 16:51:13,NO_QUERY,nomeater6333,"DishDash delivery was standard, nothing special.","Berlin, Germany",52.52,13.405,DishDash
4,169,2025-01-03 06:15:39,QuickGrub,happylover5298,"Huge thanks to QuickGrub, my food arrived hot and fresh.","Philadelphia, PA, USA",39.9526,-75.1652,Unknown
0,170,2023-01-03 22:15:47,MealExpress,eatgeek434,Worst experience ever with MealExpress. Save your money.,"Philadelphia, PA, USA",39.9526,-75.1652,MealExpress
2,171,2024-12-29 09:01:40,QuickGrub,fastnut3550,"Pizza arrived from QuickGrub, as expected.","Philadelphia, PA, USA",39.9526,-75.1652,Unknown
0,172,2025-12-24 03:30:55,EatsNow,quickrunner7720,Terrible service by EatsNow. Not ordering again.,"Madrid, Spain",40.4168,-3.7038,EatsNow
0,173,2024-10-22 17:31:09,DishDash,nomfan4135,My order from DishDash was cold and soggy.,"Paris, France",48.8566,2.3522,DishDash
0,174,2024-07-09 00:47:27,NO_QUERY,nomguru3884,Terrible service by QuickGrub. Not ordering again.,"Barcelona, Spain",41.3851,2.1734,Unknown
4,175,2024-10-03 03:53:00,MealExpress,happyeater6430,"Huge thanks to MealExpress, my food arrived hot and fresh.","Vienna, Austria",48.2082,16.3738,MealExpress
0,176,2024-03-19 03:48:58,QuickGrub,nomguru2645,"QuickGrub messed up my order, very unhappy.","Rome, Italy",41.9028,12.4964,Unknown
2,177,2024-08-27 10:19:46,MealExpress,foodqueen5660,"MealExpress delivery was standard, nothing special.","Dublin, Ireland",53.3498,-6.2603,MealExpress
